iter	Passed	Remaining
302	205737	133763
303	206430	133093
304	207094	132404
305	207767	131721
306	208426	131030
307	209094	130344
308	209765	129660
309	210503	129018
310	211388	128464
311	212203	127866
312	212874	127180
313	213543	126493
314	214213	125808
315	214879	125119
316	215538	124427
317	216212	123743
318	216916	123078
319	217582	122389
320	218237	121696
321	218899	121006
322	219567	120320
323	220233	119632
324	220900	118946
325	221560	118256
326	222222	117567
327	222893	116882
328	223555	116194
329	224231	115513
330	224902	114829
331	225568	114143
332	226248	113463
333	226946	112793
334	227603	112103
335	228271	111418
336	228934	110730
337	229588	110039
338	230252	109353
339	230922	108669
340	231584	107982
341	232245	107294
342	232901	106605
343	233558	105915
344	234218	105228
345	234884	104543
346	235544	103856
347	236218	103176
348	236913	102504
349	237572	101816
350	238236	101131
351	238902	100447
352	239557	99759
353	240224	99075
354	240889	98391
355	241553	97707
356	242216	97022
357	243070	96413
358	243970	95821
359	244679	95152
360	245411	94493
361	246256	93876
362	247103	93259
363	248043	92675
364	248898	92058
365	249698	91419
366	250358	90729
367	251022	90040
368	251685	89351
369	252343	88661
370	253083	87999
371	253956	87382
372	254682	86715
373	255349	86026
374	256011	85337
375	256719	84662
376	257381	83973
377	258053	83286
378	258714	82597
379	259380	81909
380	260044	81221
381	260711	80533
382	261375	79845
383	262040	79158
384	262710	78472
385	263374	77784
386	264034	77095
387	264690	76405
388	265349	75716
389	266007	75027
390	266702	74349
391	267362	73661
392	268024	72973
393	268685	72285
394	269340	71596
395	270002	70909
396	270661	70221
397	271322	69534
398	271984	68848
399	272643	68160
400	273305	67474
401	273962	66786
402	274655	66108
403	275542	65475
404	276435	64842
405	277097	64155
406	277760	63468
407	278416	62780
408	279080	62093
409	279730	61404
410	280393	60717
411	281054	60031
412	281715	59344
413	282388	58660
414	283054	57975
415	283723	57290
416	284385	56604
417	285047	55918
418	285704	55231
419	286407	54553
420	287069	53868
421	287719	53180
422	288385	52495
423	289048	51810
424	289712	51125
425	290379	50441
426	291049	49757
427	291718	49074
428	292382	48389
429	293049	47705
430	293718	47022
431	294380	46337
432	295038	45652
433	295710	44969
434	296398	44289
435	297070	43606
436	297742	42923
437	298396	42238
438	299059	41554
439	299723	40871
440	300393	40188
441	301060	39505
442	301728	38822
443	302397	38140
444	303062	37457
445	303731	36774
446	304390	36091
447	305064	35409
448	305726	34726
449	306407	34045
450	307218	33378
451	308098	32718
452	308860	32045
453	309520	31361
454	310191	30678
455	310849	29994
456	311503	29309
457	312166	28626
458	312828	27943
459	313477	27258
460	314136	26575
461	314793	25892
462	315453	25209
463	316112	24525
464	316810	23845
465	317471	23163
466	318127	22480
467	318774	21796
468	319423	21113
469	320081	20430
470	320740	19748
471	321404	19066
472	322062	18384
473	322715	17701
474	323376	17019
475	324023	16337
476	324679	15655
477	325337	14973
478	325997	14292
479	326703	13612
480	327369	12931
481	328027	12249
482	328689	11568
483	329339	10887
484	329992	10205
485	330648	9524
486	331297	8843
487	331957	8162
488	332612	7482
489	333277	6801
490	333934	6120
491	334595	5440
492	335262	4760
493	335911	4079
494	336612	3400
495	337277	2719
496	337928	2039
497	338590	1359
498	339379	680
499	340234	0
